state,x,y
Jammu & Kashmir,-111.0,265.0
Himanchal Pradesh,-96.0,215.0
Uttaranchal,-62.0,189.0
Punjab,-152.0,185.0
Haryana,-128.0,162.0
Delhi,-102.0,145.0
Uttar Pradesh,-91.0,121.0
Bihar,39.0,77.0
Sikkim,107.0,132.0
Arunachal Pradesh,192.0,145.0
Nagaland,222.0,104.0
Manipur,209.0,71.0
Mizoram,199.0,37.0
Tripura,158.0,55.0
Meghalaya,145.0,86.0
Assam,151.0,105.0
West Bengal,80.0,39.0
Jharkhand,29.0,48.0
Madhya Pradesh,-141.0,19.0
Rajasthan,-218.0,101.0
Gujarat,-235.0,35.0
Chhattisgarh,-30.0,-2.0
Orissa,9.0,-21.0
Maharashtra,-176.0,-42.0
Telangana,-90.0,-80.0
Andhra Pradesh,-80.0,-146.0
Karnataka,-148.0,-177.0
Goa,-166.0,-133.0
Tamil Nadu,-94.0,-241.0
Kerala,-140.0,-241.0
Pondicherry,-49.0,-223.0
